student_id,age,gender,study_time,attendance,parental_education,internet_access,previous_marks,marks,final_result
1156,18,Female,2.1,67.6,Diploma,Yes,64.4,50.8,Pass
1157,20,Male,7.2,85.4,High School,Yes,95.0,75.0,Pass
1158,20,Female,4.9,81.4,Diploma,Yes,78.6,59.0,Pass
1159,18,Female,1.4,87.3,Bachelor's,Yes,55.4,35.1,Fail
1160,20,Male,1.4,76.4,Master's,Yes,74.6,56.2,Pass
1161,19,Female,3.9,94.8,Bachelor's,Yes,72.7,69.8,Pass
1162,20,Male,3.9,72.8,Bachelor's,Yes,77.8,56.9,Pass
1163,20,Male,3.9,100.0,Diploma,Yes,89.8,68.8,Pass
1164,19,Female,2.9,63.6,Master's,Yes,69.2,59.7,Pass
1165,18,Male,3.0,86.6,,Yes,59.3,51.7,Pass
1166,20,Female,3.6,87.0,PhD,Yes,69.5,60.3,Pass
1167,18,Female,3.3,73.6,Bachelor's,Yes,78.9,50.3,Pass
1168,18,Male,0.5,86.5,High School,Yes,55.9,42.0,Pass
1169,17,Male,2.9,95.4,Bachelor's,No,72.4,49.0,Pass
1170,19,Male,2.1,58.7,Diploma,Yes,62.9,34.1,Fail
1171,20,Female,3.4,87.3,Bachelor's,Yes,78.7,58.7,Pass
1172,17,Female,7.2,55.8,High School,Yes,76.5,58.4,Pass
1173,19,Female,3.7,71.9,High School,Yes,63.7,46.7,Pass
1174,18,Male,2.8,99.1,Master's,Yes,74.0,50.4,Pass
1175,20,Female,4.4,75.9,Diploma,Yes,78.4,66.6,Pass
1176,18,Female,3.9,69.7,Master's,Yes,75.9,65.4,Pass
1177,20,Female,3.8,79.9,Diploma,No,66.3,37.3,Fail
1178,19,Male,4.0,100.0,Bachelor's,Yes,88.3,77.1,Pass
1179,21,Female,6.0,62.8,Bachelor's,Yes,74.7,55.7,Pass
1180,18,Female,1.7,71.0,Bachelor's,Yes,54.3,44.3,Pass
1181,19,Female,3.8,97.7,Diploma,Yes,70.0,57.7,Pass
1182,18,Male,1.9,,High School,No,57.4,42.8,Pass
1183,21,Female,3.9,80.9,High School,Yes,66.9,51.2,Pass
1184,21,Female,2.0,69.0,Diploma,Yes,69.5,55.0,Pass
1185,18,Male,2.6,100.0,Bachelor's,Yes,67.6,46.7,Pass
1186,20,Female,2.8,98.7,Master's,Yes,77.9,65.9,Pass
1187,20,Female,4.5,89.1,Master's,Yes,74.9,70.2,Pass
1188,19,Male,4.4,73.5,Master's,Yes,72.6,63.0,Pass
1189,19,Male,1.5,81.5,Master's,Yes,53.6,55.9,Pass
1190,18,Female,3.3,80.3,Bachelor's,Yes,68.7,50.0,Pass
1191,18,Male,2.2,85.5,Diploma,Yes,64.2,54.1,Pass
1192,21,Female,1.5,97.2,Master's,Yes,75.0,55.7,Pass
1193,21,Male,2.9,91.2,Bachelor's,No,72.2,62.1,Pass
1194,20,Female,2.8,70.7,Bachelor's,Yes,55.8,42.6,Pass
1195,19,Male,6.5,96.5,High School,Yes,93.2,75.5,Pass
1196,19,Female,3.8,85.3,Bachelor's,Yes,75.8,68.5,Pass
1197,20,Female,1.3,89.2,Bachelor's,Yes,66.9,45.4,Pass
1198,21,Female,2.4,97.4,Master's,Yes,74.3,49.3,Pass
1199,21,Female,4.6,70.3,Bachelor's,No,66.4,47.9,Pass
1200,20,Male,6.0,81.6,Diploma,Yes,81.5,71.8,Pass
1201,20,Female,1.1,76.4,PhD,No,65.3,52.4,Pass
1202,18,Male,,65.5,High School,Yes,37.4,24.0,Fail
1203,18,Male,5.7,85.6,Bachelor's,Yes,77.5,74.9,Pass
1204,21,Male,3.7,100.0,High School,No,70.4,46.4,Pass
1205,19,Male,2.0,62.7,Bachelor's,Yes,61.7,39.3,Fail
1206,17,Female,3.9,81.7,Master's,No,82.9,60.2,Pass
1207,18,Female,0.5,88.7,Diploma,Yes,53.8,37.0,Fail
1208,20,Male,3.2,83.3,Master's,No,67.1,51.8,Pass
1209,17,Male,3.6,80.8,Diploma,Yes,65.8,56.3,Pass
1210,18,Female,4.4,68.4,Master's,Yes,66.7,51.0,Pass
1211,19,Male,1.8,84.4,Master's,Yes,65.0,49.7,Pass
1212,20,Male,3.3,74.1,Master's,Yes,76.7,57.5,Pass
1213,20,Male,2.0,59.0,High School,Yes,46.0,24.6,Fail
1214,18,Female,3.5,94.5,PhD,Yes,82.3,65.3,Pass
1215,20,Female,2.0,92.1,Bachelor's,Yes,55.5,43.6,Pass
1216,18,Male,2.6,82.5,Diploma,Yes,61.9,46.0,Pass
1217,18,Male,1.9,84.4,Master's,Yes,65.6,49.7,Pass
1218,20,Female,4.1,93.3,Diploma,Yes,89.3,69.8,Pass
1219,20,Female,4.4,84.4,Master's,Yes,76.0,59.7,Pass
1220,20,Male,2.9,91.5,High School,Yes,50.9,50.7,Pass
1221,20,Female,3.3,78.9,Bachelor's,Yes,54.1,37.1,Fail
1222,19,Male,1.2,95.8,Bachelor's,Yes,67.3,45.2,Pass
1223,18,Male,2.8,85.4,High School,Yes,71.0,70.7,Pass
1224,19,Female,3.1,84.0,Diploma,No,69.9,44.2,Pass
1225,18,Male,6.7,68.7,High School,Yes,77.7,55.3,Pass
1226,18,Female,1.7,85.0,Bachelor's,Yes,74.9,58.3,Pass
1227,22,Male,5.2,73.3,Diploma,Yes,69.5,43.4,Pass
1228,19,Male,4.5,75.3,Bachelor's,Yes,80.9,61.4,Pass
1229,21,Female,3.6,73.4,Diploma,Yes,54.4,57.7,Pass
1230,20,Male,5.6,70.8,Diploma,Yes,67.4,46.3,Pass
1231,20,Female,3.7,100.0,Master's,Yes,65.9,44.9,Pass
1232,19,Male,3.7,96.0,High School,Yes,70.9,47.4,Pass
1233,19,Male,3.1,100.0,Master's,Yes,77.6,68.7,Pass
1234,19,Male,4.9,69.2,Master's,Yes,76.3,68.3,Pass
1235,18,Female,4.7,82.7,Bachelor's,No,75.4,55.9,Pass
1236,20,Male,2.4,68.4,Bachelor's,Yes,55.7,45.4,Pass
1237,18,Female,1.4,74.7,Master's,Yes,61.6,52.8,Pass
1238,17,Male,2.9,72.4,High School,No,48.4,46.3,Pass
1239,20,Female,2.1,95.0,High School,Yes,77.3,54.6,Pass
1240,18,Male,3.1,77.8,Diploma,Yes,64.5,34.1,Fail
1241,21,Female,4.9,93.2,Master's,Yes,79.1,62.1,Pass
1242,22,Female,2.6,88.3,High School,No,77.0,50.8,Pass
1243,21,Female,3.1,100.0,Bachelor's,No,64.1,50.0,Pass
1244,19,Female,3.3,66.5,PhD,Yes,60.1,45.8,Pass
1245,17,Female,4.3,95.2,Master's,Yes,72.5,69.6,Pass
1246,21,Female,0.5,94.0,Bachelor's,Yes,63.1,53.4,Pass
1247,19,Male,2.4,71.8,High School,Yes,63.6,43.4,Pass
1248,22,Male,3.5,92.6,Master's,Yes,83.1,72.9,Pass
1249,22,Female,4.8,85.5,Bachelor's,No,95.0,73.8,Pass
1250,21,Female,2.5,79.6,High School,Yes,45.1,36.0,Fail
1251,18,Female,0.7,73.3,High School,Yes,58.7,43.1,Pass
1252,19,Male,4.0,74.4,Master's,Yes,69.0,55.8,Pass
1253,21,Male,2.3,100.0,Bachelor's,Yes,68.1,67.6,Pass
1254,18,Male,1.6,82.0,Master's,Yes,61.3,36.3,Fail
1255,18,Female,2.4,90.2,Master's,Yes,64.8,48.2,Pass
1256,19,Male,3.0,73.7,Bachelor's,No,78.7,53.8,Pass
1257,21,Male,2.4,73.8,Bachelor's,No,69.6,50.5,Pass
1258,20,Male,0.5,93.4,Bachelor's,Yes,63.7,53.6,Pass
1259,19,Male,4.4,67.8,Diploma,Yes,79.7,59.3,Pass
1260,18,Female,4.9,77.6,Bachelor's,Yes,63.9,45.4,Pass
1261,19,Male,4.1,82.4,Master's,Yes,65.7,60.7,Pass
1262,22,Female,1.7,83.2,Bachelor's,Yes,47.6,42.2,Pass
1263,18,Male,2.9,80.1,Master's,Yes,65.2,38.5,Fail
1264,19,Male,3.2,86.2,Bachelor's,No,71.3,53.3,Pass
1265,21,Male,4.0,89.3,Bachelor's,Yes,77.0,51.7,Pass
1266,20,Male,4.1,89.7,Bachelor's,Yes,77.9,58.6,Pass
1267,20,Male,2.2,71.6,Bachelor's,Yes,52.0,33.1,Fail
1268,20,Male,3.3,79.0,Bachelor's,Yes,76.5,63.0,Pass
1269,19,Female,3.8,94.5,Diploma,Yes,77.0,62.4,Pass
1270,18,Male,5.2,91.4,Bachelor's,Yes,87.5,63.5,Pass
1271,20,Female,4.2,67.6,High School,Yes,50.9,47.0,Pass
1272,20,Female,4.3,85.7,Diploma,Yes,76.7,51.7,Pass
1273,21,Female,3.3,61.2,Bachelor's,Yes,54.9,43.8,Pass
1274,21,Male,5.1,82.5,Bachelor's,Yes,75.2,57.4,Pass
1275,19,Male,3.8,100.0,,Yes,86.1,67.9,Pass
1276,19,Male,2.0,72.0,Bachelor's,Yes,63.4,48.3,Pass
1277,20,Male,5.1,73.2,Master's,Yes,70.6,62.5,Pass
1278,20,Female,4.1,90.0,Bachelor's,Yes,76.9,71.1,Pass
1279,20,Male,2.6,65.8,Bachelor's,Yes,50.8,37.7,Fail
1280,20,Male,2.6,75.4,High School,No,69.3,48.5,Pass
1281,21,Female,3.6,88.3,Diploma,Yes,70.6,53.2,Pass
1282,19,Female,3.8,75.3,Diploma,Yes,77.8,59.4,Pass
1283,19,Female,3.5,79.5,Bachelor's,No,64.8,51.9,Pass
1284,18,Male,3.6,89.8,High School,Yes,66.5,52.5,Pass
1285,19,Male,5.5,86.4,High School,Yes,71.1,48.7,Pass
1286,17,Male,4.6,84.8,Diploma,Yes,82.1,67.0,Pass
1287,19,Male,3.5,78.4,PhD,No,66.0,53.3,Pass
1288,19,Male,4.5,85.9,Diploma,No,78.2,55.6,Pass
1289,18,Male,1.8,80.7,Bachelor's,Yes,61.6,36.9,Fail
1290,19,Male,3.7,86.8,High School,Yes,54.4,55.4,Pass
1291,17,Male,5.6,76.8,Bachelor's,Yes,74.0,65.5,Pass
1292,17,Male,2.9,80.1,Diploma,No,55.4,39.7,Fail
1293,20,Female,2.1,71.6,High School,No,57.2,30.0,Fail
1294,19,Female,2.3,81.6,Bachelor's,Yes,57.4,39.0,Fail
1295,18,Female,1.7,73.5,High School,Yes,65.3,52.3,Pass
1296,19,Male,2.1,70.3,High School,Yes,57.8,40.9,Pass
1297,20,Male,2.7,84.7,High School,Yes,64.1,44.6,Pass
1298,18,Male,1.3,84.2,High School,Yes,65.0,48.0,Pass
1299,19,Female,3.2,90.2,High School,Yes,77.0,52.9,Pass
1300,18,Female,4.4,77.5,Diploma,Yes,71.8,66.6,Pass
1301,17,Male,2.0,86.3,Master's,Yes,63.0,57.4,Pass
1302,19,Female,5.3,87.8,Bachelor's,No,64.7,52.7,Pass
1303,19,Male,3.9,86.7,Bachelor's,Yes,69.5,52.8,Pass
1304,20,Female,4.6,73.3,Diploma,Yes,66.5,36.5,Fail
1305,20,Female,2.3,83.6,Master's,Yes,70.4,43.6,Pass
1306,22,Female,4.4,85.8,Diploma,No,69.9,46.2,Pass
1307,19,Female,1.7,82.1,High School,Yes,66.2,47.0,Pass
1308,18,Female,4.4,60.1,Bachelor's,Yes,63.5,47.3,Pass
1309,20,Male,3.4,83.7,High School,Yes,67.5,43.2,Pass
1310,18,Female,3.9,100.0,Diploma,Yes,86.7,66.8,Pass
1311,19,Male,1.6,78.2,Bachelor's,Yes,65.8,49.9,Pass
1312,17,Female,2.0,74.4,Master's,Yes,64.9,50.8,Pass
1313,17,Female,4.0,85.9,Bachelor's,No,68.3,41.4,Pass
1314,22,Female,1.9,85.3,Bachelor's,Yes,61.4,45.5,Pass
1315,20,Male,3.8,94.5,PhD,Yes,73.2,52.7,Pass
1316,20,Female,1.4,68.8,High School,Yes,50.9,39.6,Fail
1317,19,Female,4.3,89.7,Diploma,Yes,81.5,69.7,Pass
1318,18,Female,1.5,88.2,Diploma,Yes,62.0,39.4,Fail
1319,18,Male,3.9,80.5,Bachelor's,Yes,62.2,46.4,Pass
1320,18,Male,4.0,85.6,Bachelor's,Yes,89.1,65.3,Pass
1321,19,Male,2.3,92.8,Master's,Yes,75.1,43.1,Pass
1322,20,Male,4.0,91.2,Bachelor's,Yes,65.5,57.9,Pass
1323,20,Female,3.6,70.0,Bachelor's,Yes,64.9,48.2,Pass
1324,18,Male,2.5,90.6,Diploma,Yes,69.5,59.1,Pass
1325,22,Female,1.8,81.3,Master's,No,78.5,46.4,Pass
1326,20,Male,0.6,82.8,PhD,Yes,54.6,35.5,Fail
1327,19,Male,3.7,82.8,Master's,Yes,82.7,54.3,Pass
1328,19,Female,1.1,80.4,High School,Yes,68.9,39.1,Fail
1329,19,Female,3.3,94.5,Bachelor's,Yes,70.0,49.4,Pass
1330,18,Male,2.8,81.1,High School,Yes,62.5,53.3,Pass
1331,19,Female,4.1,70.2,Diploma,No,58.2,39.6,Fail
1332,20,Female,2.8,77.9,High School,Yes,62.1,46.7,Pass
1333,17,Male,2.8,83.9,Bachelor's,Yes,69.4,50.7,Pass
1334,18,Female,4.2,94.9,Bachelor's,Yes,84.0,59.5,Pass
1335,17,Female,3.7,88.3,High School,Yes,79.4,59.5,Pass
1336,17,Female,3.6,73.1,Diploma,Yes,61.4,51.6,Pass
1337,21,Male,3.8,100.0,Bachelor's,Yes,63.1,47.7,Pass
1338,20,Female,1.1,84.8,Diploma,Yes,61.0,48.1,Pass
1339,19,Male,4.2,95.4,High School,Yes,77.3,56.7,Pass
1340,18,Male,4.0,80.4,Bachelor's,Yes,75.3,56.1,Pass
1341,19,Male,1.8,87.6,Master's,Yes,66.2,53.6,Pass
1342,19,Male,2.9,90.8,High School,Yes,69.3,48.7,Pass
1343,18,Female,3.1,94.8,High School,Yes,82.5,62.2,Pass
1344,19,Female,3.0,93.1,Diploma,Yes,74.4,55.5,Pass
1345,19,Female,3.7,91.2,Master's,Yes,74.6,61.9,Pass
1346,19,Male,5.1,78.7,Bachelor's,No,71.2,41.6,Pass
1347,20,Male,4.7,76.0,Bachelor's,Yes,73.4,47.3,Pass
1348,17,Male,1.4,85.5,Diploma,Yes,75.7,56.3,Pass
1349,19,Female,4.0,91.8,Bachelor's,Yes,75.5,68.4,Pass
1350,19,Male,5.0,79.7,High School,Yes,72.9,52.8,Pass
1351,19,Female,3.7,93.2,Bachelor's,Yes,72.4,57.7,Pass
1352,21,Female,4.7,97.3,Master's,Yes,92.3,77.3,Pass
1353,20,Male,5.9,72.4,Bachelor's,Yes,94.0,78.3,Pass
1354,18,Female,4.6,73.2,,Yes,79.0,49.4,Pass
1355,17,Male,3.5,80.5,Bachelor's,Yes,72.0,50.2,Pass
1356,20,Female,4.6,85.2,High School,Yes,73.6,56.9,Pass
1357,17,Female,3.4,76.5,Master's,Yes,52.6,49.1,Pass
1358,19,Male,3.2,96.2,High School,Yes,77.1,75.7,Pass
1359,21,Male,2.7,86.5,Bachelor's,Yes,71.2,53.0,Pass
1360,19,Female,5.3,82.4,High School,Yes,78.6,54.3,Pass
1361,19,Female,2.1,66.9,High School,Yes,51.7,38.4,Fail
1362,20,Male,5.3,68.2,Bachelor's,Yes,71.5,66.8,Pass
1363,19,Female,3.9,85.0,Diploma,Yes,69.1,56.1,Pass
1364,19,Female,1.3,59.6,Bachelor's,Yes,64.0,35.1,Fail
1365,21,Female,3.7,92.6,Bachelor's,Yes,73.0,65.7,Pass
1366,19,Male,0.5,80.3,High School,Yes,72.0,50.0,Pass
1367,22,Female,4.0,100.0,High School,Yes,79.0,56.9,Pass
1368,21,Female,4.4,100.0,Bachelor's,Yes,71.0,64.3,Pass
1369,18,Male,2.4,,Diploma,Yes,63.8,53.6,Pass
1370,17,Male,3.4,80.9,Bachelor's,Yes,65.9,59.9,Pass
1371,18,Female,5.8,92.5,Bachelor's,Yes,66.8,61.4,Pass
1372,17,Male,2.5,99.9,Master's,Yes,88.4,65.1,Pass
1373,18,Female,1.8,64.8,Bachelor's,Yes,65.2,52.1,Pass
1374,20,Male,5.2,63.2,Bachelor's,Yes,76.9,52.2,Pass
1375,17,Male,5.8,75.5,Bachelor's,Yes,80.3,69.1,Pass
1376,18,Female,3.2,88.1,Diploma,Yes,59.5,39.6,Fail
1377,20,Male,4.6,87.2,Diploma,Yes,72.0,66.4,Pass
1378,17,Male,5.0,93.2,Master's,No,88.2,68.8,Pass
1379,20,Male,2.2,69.4,Bachelor's,Yes,54.2,48.0,Pass
